Average word length,Pausality,Average NP length,Average sentence length,Number of clauses,Number of words,Number of verbs,Number of adjectives,Number of passive voice,Emotiveness,Content diversity,Redundancy,Lexical diversity,Number of modal verbs,Number of typos
4.16945107398568,2.5806451612903225,1.9615384615384615,16.096774193548388,31,419,59,30,2,0.3493150684931507,0.45823389021479716,6.32258064516129,0.5918854415274463,9,8
3.727272727272727,2.0,2.5833333333333335,29.5,2,55,5,6,0,0.42105263157894735,0.43636363636363634,14.5,0.7454545454545455,2,2
4.033195020746888,2.857142857142857,1.5970149253731343,20.071428571428573,14,241,32,14,0,0.484375,0.38589211618257263,8.5,0.5352697095435685,7,7
6.8,2.0,1.0,12.0,1,10,3,1,0,0.6666666666666666,0.5,5.0,1.0,0,0
4.0,7.0,1.7857142857142858,56.0,1,49,5,5,1,0.5714285714285714,0.3673469387755102,30.0,0.7755102040816326,0,0
3.941860465116279,2.3333333333333335,1.95,11.88888888888889,9,86,12,3,0,0.24242424242424243,0.4883720930232558,4.111111111111111,0.7209302325581395,2,0
4.0,1.7272727272727273,2.0,14.863636363636363,22,289,24,25,0,0.6,0.44982698961937717,5.954545454545454,0.6089965397923875,2,6
4.933333333333334,1.5,1.6,9.0,2,15,1,2,0,0.6,0.6,3.0,1.0,0,0
4.223214285714286,2.2,1.8611111111111112,13.4,10,112,9,8,0,0.22727272727272727,0.48214285714285715,5.6,0.7232142857142857,4,7
4.423076923076923,2.857142857142857,1.7435897435897436,21.428571428571427,7,130,17,15,2,0.5789473684210527,0.46153846153846156,9.571428571428571,0.7692307692307693,0,0
4.081081081081081,1.7142857142857142,2.1363636363636362,14.928571428571429,14,185,25,9,1,0.3333333333333333,0.44324324324324327,6.285714285714286,0.6432432432432432,4,3
4.3,2.7142857142857144,2.225806451612903,19.857142857142858,7,120,9,12,0,0.7407407407407407,0.5083333333333333,7.571428571428571,0.7833333333333333,3,3
5.377777777777778,12.0,2.6363636363636362,57.0,1,45,3,11,0,0.8947368421052632,0.7777777777777778,9.0,0.9777777777777777,2,2
4.217391304347826,3.6,1.72,22.0,5,92,9,5,0,0.4838709677419355,0.4782608695652174,9.0,0.7065217391304348,0,1
3.6779661016949152,1.375,1.878787878787879,16.125,8,118,16,10,0,0.43243243243243246,0.4152542372881356,7.25,0.6610169491525424,3,2
4.584070796460177,1.5,1.8571428571428572,12.8,10,113,11,8,3,0.2972972972972973,0.4690265486725664,5.7,0.7079646017699115,0,2
4.211678832116788,1.5454545454545454,1.6097560975609757,14.0,11,137,21,7,0,0.32608695652173914,0.43795620437956206,6.636363636363637,0.7007299270072993,2,2
4.113207547169812,1.4,1.8461538461538463,12.0,5,53,6,5,0,0.5625,0.49056603773584906,4.6,0.8113207547169812,1,1
4.555555555555555,2.8,1.7142857142857142,15.4,5,63,4,9,0,0.5789473684210527,0.5714285714285714,5.2,0.8412698412698413,1,3
4.25531914893617,3.25,2.0,23.8125,16,329,45,18,2,0.2833333333333333,0.42857142857142855,10.1875,0.5835866261398176,5,13
3.828767123287671,1.2,1.5833333333333333,15.8,10,146,19,9,1,0.4634146341463415,0.3767123287671233,8.0,0.5958904109589042,3,0
3.9453551912568305,2.0,1.8297872340425532,17.25,12,183,22,9,1,0.30434782608695654,0.4371584699453552,7.666666666666667,0.6557377049180327,2,2
4.141176470588236,1.375,1.8181818181818181,12.0,8,85,7,8,0,0.4642857142857143,0.47058823529411764,5.25,0.788235294117647,2,4
4.139664804469274,2.5384615384615383,2.261904761904762,16.307692307692307,13,179,16,14,0,0.5,0.5083798882681564,6.538461538461538,0.7486033519553073,4,7
4.114942528735632,2.3333333333333335,1.9259259259259258,16.833333333333332,6,87,5,12,0,0.5769230769230769,0.4942528735632184,6.5,0.6896551724137931,0,2
4.454545454545454,3.0,1.5,14.0,2,22,1,3,0,1.0,0.5,5.5,0.8636363636363636,0,0
3.926470588235294,1.6666666666666667,1.736842105263158,13.0,6,68,8,5,0,0.6428571428571429,0.47058823529411764,6.0,0.8382352941176471,0,4
4.2153846153846155,2.0,1.6,15.0,5,65,5,7,0,0.7894736842105263,0.46153846153846156,6.0,0.7538461538461538,1,1
4.119741100323624,2.8095238095238093,1.755813953488372,17.523809523809526,21,309,47,20,1,0.4074074074074074,0.42394822006472493,6.666666666666667,0.5825242718446602,7,13
4.181818181818182,2.5,1.446808510638298,20.375,8,143,25,5,0,0.3333333333333333,0.5034965034965035,8.375,0.7342657342657343,0,6
4.217391304347826,1.5555555555555556,1.8076923076923077,11.777777777777779,9,92,12,11,0,0.42424242424242425,0.4782608695652174,4.666666666666667,0.7282608695652174,3,1
3.843243243243243,2.2,1.8372093023255813,20.7,10,185,21,20,1,0.7,0.4,9.8,0.6216216216216216,2,0
4.157894736842105,3.272727272727273,1.576271186440678,22.272727272727273,11,209,27,19,2,0.46153846153846156,0.47368421052631576,9.181818181818182,0.645933014354067,1,5
4.027272727272727,1.3333333333333333,1.6785714285714286,13.555555555555555,9,110,9,10,1,0.8076923076923077,0.41818181818181815,5.777777777777778,0.6636363636363637,1,2
4.25,1.7777777777777777,1.911764705882353,16.88888888888889,9,136,12,20,1,0.6923076923076923,0.40441176470588236,8.0,0.6470588235294118,4,1
4.276595744680851,2.0,1.9166666666666667,17.666666666666668,3,47,2,5,0,0.8333333333333334,0.574468085106383,6.666666666666667,0.851063829787234,2,0
4.061728395061729,1.5,2.046153846153846,15.0,18,243,20,34,4,0.5555555555555556,0.45267489711934156,6.222222222222222,0.6213991769547325,4,3
3.8493150684931505,1.1538461538461537,1.8235294117647058,18.0,13,219,27,17,3,0.6290322580645161,0.3835616438356164,9.307692307692308,0.6118721461187214,2,4
4.035714285714286,1.75,1.6842105263157894,8.75,8,56,5,5,0,0.4666666666666667,0.44642857142857145,3.625,0.7678571428571429,1,0
